Date,NaturalGas,CrudeOil,HeatingOil,Consumption,Production,UndergroundStorage
2001-01-01,7.480000019073486,29.360000610351562,0.8414999842643738,2676998,1753237,5609446.0
2001-02-01,5.59499979019165,29.75,0.7724999785423279,2309464,1582557,5240820.0
2001-03-01,5.242500066757202,27.375,0.7290499806404114,2246633,1766754,5041971.0
2001-04-01,5.137999773025513,27.72000026702881,0.7551999986171722,1807170,1703310,5252851.0
2001-05-01,4.263000011444092,28.549999237060547,0.7714499831199646,1522382,1763141,5749464.0
2001-06-01,3.8919999599456787,27.719999313354492,0.7591999769210815,1444378,1685568,6192512.0
2001-07-01,3.1649999618530273,26.59000015258789,0.7059000134468079,1598071,1737185,6576075.0
2001-08-01,2.999000072479248,27.450000762939453,0.7372000217437744,1669178,1737283,6888848.0
2001-09-01,2.2484999895095825,26.824999809265137,0.7328500151634216,1494128,1688682,7261934.0
2001-10-01,2.4860000610351562,22.149999618530273,0.6323999762535095,1649073,1757397,7453778.0
2001-11-01,2.79449999332428,19.609999656677246,0.5503000020980835,1700950,1671377,7554750.0
2001-12-01,2.686000108718872,19.360000610351562,0.5425000190734863,2120198,1723803,7204251.0
2002-01-01,2.2279999256134033,19.68000030517578,0.5321999788284302,2487638,1700744,6657016.0
2002-02-01,2.2850000858306885,20.8700008392334,0.546500027179718,2242427,1522916,6193791.0
2002-03-01,3.0449999570846558,24.514999389648438,0.6477499902248383,2258431,1701456,5872829.0
2002-04-01,3.412500023841858,26.414999961853027,0.6755000054836273,1880985,1644193,6013613.0
2002-05-01,3.6019999980926514,26.729999542236328,0.6685000061988831,1611453,1711242,6329453.0
2002-06-01,3.243499994277954,25.475000381469727,0.652999997138977,1591373,1648568,6663387.0
2002-07-01,2.9375,26.809999465942383,0.6866999864578247,1748435,1719187,6896201.0
2002-08-01,3.1419999599456787,28.53499984741211,0.7311500012874603,1725712,1684340,7130055.0
2002-09-01,3.500499963760376,29.729999542236328,0.7875500023365021,1542170,1592968,7384108.0
2002-10-01,4.145999908447266,29.3700008392334,0.7914999723434448,1645873,1630246,7457920.0
2002-11-01,3.9809999465942383,26.139999389648438,0.7217000126838684,1913629,1634246,7272705.0
2002-12-01,4.961999893188477,30.100000381469727,0.8395000100135803,2378895,1694674,6715467.0
2003-01-01,5.420000076293945,32.66999816894531,0.8985999822616577,2700545,1690682,5865966.0
2003-02-01,5.9770002365112305,36.060001373291016,1.0607000589370728,2500315,1537109,5187077.0
2003-03-01,5.360000133514404,34.93000030517578,0.9157000184059143,2197936,1739241,5055702.0
2003-04-01,5.410999774932861,28.559999465942383,0.742900013923645,1743530,1665329,5210476.0
2003-05-01,6.014999866485596,28.739999771118164,0.7330999970436096,1514697,1700460,5621675.0
2003-06-01,5.804999828338623,30.670000076293945,0.7595000267028809,1368369,1646690,6090298.0
2003-07-01,5.0350000858306885,30.480000495910645,0.7896499931812286,1600484,1667181,6450716.0
2003-08-01,4.964000225067139,31.700000762939453,0.8284000158309937,1651580,1701056,6762507.0
2003-09-01,4.660999774932861,28.290000915527344,0.7484999895095825,1428554,1638825,7173311.0
2003-10-01,4.9039998054504395,30.299999237060547,0.819100022315979,1553189,1694596,7456712.0
2003-11-01,4.738499879837036,31.014999389648438,0.8399499952793121,1753642,1620085,7341444.0
2003-12-01,6.599999904632568,32.099998474121094,0.9013000130653381,2263659,1673106,6865772.0
2004-01-01,6.150000095367432,34.310001373291016,0.9840999841690063,2675834,1674398,6051839.0
2004-02-01,5.355999946594238,34.560001373291016,0.9142000079154968,2511097,1551457,5452307.0
2004-03-01,5.546000003814697,36.65999984741211,0.9136999845504761,2100921,1685174,5341885.0
2004-04-01,5.788000106811523,37.13999938964844,0.932699978351593,1745171,1629220,5535291.0
2004-05-01,6.393500089645386,40.30000114440918,1.016099989414215,1573043,1654209,5910982.0
2004-06-01,6.339000225067139,37.630001068115234,0.9952999949455261,1483684,1619097,6307379.0
2004-07-01,6.047999858856201,40.86000061035156,1.095900058746338,1584933,1668490,6681153.0
2004-08-01,5.474499940872192,44.65999984741211,1.1835500001907349,1577962,1654093,7004573.0
2004-09-01,4.965000152587891,44.61000061035156,1.233199954032898,1482150,1550376,7310455.0
2004-10-01,7.163000106811523,53.310001373291016,1.4954999685287476,1557224,1620423,7548214.0
2004-11-01,7.5355000495910645,48.84000015258789,1.402899980545044,1782796,1583720,7479367.0
2004-12-01,6.8429999351501465,43.25,1.277400016784668,2327730,1626834,6897200.0
2005-01-01,6.249499797821045,47.364999771118164,1.3389000296592712,2561858,1632685,6199291.0
2005-02-01,6.159999847412109,47.2599983215332,1.3128000497817993,2242986,1498281,5768939.0
2005-03-01,7.099999904632568,54.510000228881836,1.5446500182151794,2205787,1687347,5484332.0
2005-04-01,7.093999862670898,53.31999969482422,1.4972000122070312,1724877,1614614,5699060.0
2005-05-01,6.47599983215332,50.130001068115234,1.4284000396728516,1522613,1652081,6075521.0
2005-06-01,7.132499933242798,56.05999946594238,1.6218499541282654,1534122,1611743,6398738.0
2005-07-01,7.568000078201294,59.05500030517578,1.651199996471405,1686609,1627427,6653209.0
2005-08-01,9.390999794006348,65.44999694824219,1.8228000402450562,1695102,1619414,6865103.0
2005-09-01,11.756999969482422,65.81999969482422,2.0383999347686768,1422495,1400941,7136424.0
2005-10-01,13.420999526977539,62.40999984741211,1.9500000476837158,1428227,1475622,7400321.0
2005-11-01,11.644499778747559,57.84000015258789,1.7297999858856201,1663400,1514407,7398295.0
2005-12-01,13.699999809265137,59.38999938964844,1.738700032234192,2326360,1592533,6835374.0
2006-01-01,9.20300006866455,65.79000091552734,1.7939499616622925,2165268,1611000,6573119.0
2006-02-01,7.315999984741211,61.40999984741211,1.6655999422073364,2144378,1450983,6088735.0
2006-03-01,7.006999969482422,62.77000045776367,1.7812999486923218,2126369,1631383,5888675.0
2006-04-01,7.139999866485596,70.4000015258789,1.985700011253357,1681005,1570546,6143320.0
2006-05-01,6.278000116348267,70.9900016784668,1.9704999923706055,1526297,1632139,6511653.0
2006-06-01,6.305500030517578,70.82999801635742,1.9674500226974487,1550879,1614061,6831985.0
2006-07-01,6.091000080108643,74.4000015258789,1.979599952697754,1758733,1650313,6993053.0
